metabolite                                                                                                 coeff in PLS
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Protoheme C34H30FeN4O4                                                                                     0.703909
1-octadec-11-enoyl-sn-glycerol 3-phosphate&2-octadec-11-enoyl-sn-glycerol 3-phosphate                      0.623823
N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid                                                      0.499328
Dephospho-CoA                                                                                              0.409189
Succinic semialdehyde&2-Oxobutanoate&Acetoacetate                                                          0.351514
D-Fructose 1,6-bisphosphate&D-Tagatose 1,6-biphosphate                                                     0.269496
Gamma-glutamyl-gamma aminobutyric acid&N2-Succinyl-L-ornithine                                             0.232641
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate                                                            -0.213098
Nicotinamide adenine dinucleotide                                                                          0.201406
N6-(1,2-Dicarboxyethyl)-AMP                                                                               -0.200431
Quinate                                                                                                    0.197809
L-Citrulline                                                                                              -0.187017
Tetradecenoate (n-C14:1)                                                                                  -0.176284
UDPglucose&UDP-D-galacto-1,4-furanose&UDPgalactose                                                         0.173233
L-Proline                                                                                                  0.169123
2-C-methyl-D-erythritol 2,4-cyclodiphosphate                                                              -0.167878
L-Phenylalanine                                                                                           -0.165738
Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1)                                                        -0.164981
4-Aminobutanoate                                                                                          -0.162353
AMP C10H12N5O7P&3  AMP C10H12N5O7P&DGMP C10H12N5O7P                                                        0.162035
Acetyl-CoA                                                                                                 0.161640
4-Amino-2-methyl-5-phosphomethylpyrimidine                                                                -0.160800
N-Succinyl-LL-2,6-diaminoheptanedioate                                                                    -0.156355
Coenzyme A                                                                                                -0.152585
CDP C9H12N3O11P2                                                                                          -0.151833
Sulfoacetate                                                                                               0.150180
Trans-Dec-2-enoyl-CoA                                                                                      0.150058
N-Acetylanthranilate                                                                                      -0.143960
CDP-1,2-dioctadec-11-enoylglycerol                                                                         0.141673
Succinate                                                                                                  0.132359
3-Dehydroquinate                                                                                          -0.132307
N-Acetyl-L-glutamate 5-semialdehyde                                                                        0.131510
L-Fucose&L-fuculose&L-Rhamnulose&L-Rhamnose                                                                0.126837
Cyclopropane phosphatidylglycerol (dihexadec-9,10-cyclo-anoyl, n-C16:0 cyclo)                             -0.124710
Dodecanoate (n-C12:0)                                                                                      0.122397
N-Acetyl-D-glucosamine 1-phosphate&N-Acetyl-D-glucosamine 6-phosphate&N-Acetyl-D-galactosamine 1-phosphate&N-Acetyl-D-mannosamine 6-phosphate -0.122195
Glutathionylspermidine                                                                                    -0.121974
DTDP-L-rhamnose                                                                                            0.121811
1-deoxy-D-xylulose 5-phosphate&2-Deoxy-D-ribose 1-phosphate&2-Deoxy-D-ribose 5-phosphate                  -0.120175
D-Sorbitol 6-phosphate&D-Mannitol 1-phosphate&Galactitol 1-phosphate                                       0.118773
ADP-D-glycero-D-manno-heptose                                                                             -0.116418
L-Tyrosine                                                                                                -0.116119
3-Carboxy-2-hydroxy-4-methylpentanoate&3-Carboxy-3-hydroxy-4-methylpentanoate                             -0.115518
Phenylacetic acid&4-Hydroxyphenylacetaldehyde                                                             -0.115215
L-Glutamate 5-phosphate                                                                                    0.113842
L-alanine-D-glutamate&L-alanine-L-glutamate                                                               -0.113156
D-Glycero-D-manno-heptose 1-phosphate&D-Glycero-D-manno-heptose 7-phosphate&Sedoheptulose 7-phosphate     -0.111602
DATP C10H12N5O12P3                                                                                         0.111488
L-Malate                                                                                                   0.111388
O-Succinylbenzoate                                                                                        -0.109646
Phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1)                                                    -0.105774
FMN C17H19N4O9P                                                                                           -0.105585
L-Histidine                                                                                                0.105161
L-Aspartate                                                                                                0.105059
Inosine                                                                                                   -0.104919
Glycerophosphoglycerol                                                                                    -0.104173
Dihydroxyacetone phosphate&Glyceraldehyde 3-phosphate                                                     -0.102722
7-cyano-7-carbaguanine                                                                                     0.102238
UDP-N-acetylmuramate                                                                                      -0.101891
Glycerol 3-phosphate&Glycerol 2-phosphate                                                                  0.101416
Sedoheptulose 1,7-bisphosphate&D-Glycero-D-manno-heptose 1,7-bisphosphate                                 -0.100190
N2-Acetyl-L-ornithine                                                                                      0.099266
6-hydroxymethyl dihydropterin                                                                             -0.097514
DGTP C10H12N5O13P3&ATP C10H12N5O13P3                                                                       0.096939
Octadecenoate (n-C18:1)                                                                                   -0.096644
1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)&2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)                0.095672
GTP C10H12N5O14P3                                                                                          0.095554
5,6-dihydrouracil                                                                                          0.094635
L-Tryptophan                                                                                               0.094613
Orotate C5H3N2O4                                                                                           0.092474
Nicotinamide adenine dinucleotide phosphate - reduced                                                      0.091752
N-Acetyl-L-glutamate                                                                                      -0.091304
Bis-molybdenum cofactor                                                                                   -0.089553
3-Phospho-D-glycerate&D-Glycerate 2-phosphate                                                             -0.087104
(S)-Dihydroorotate                                                                                         0.084687
Isocitrate&Citrate&5-Dehydro-4-deoxy-D-glucarate&2,3-Dioxo-L-gulonate&2,5-diketo-D-gluconate               0.084092
L-Homocysteine                                                                                             0.083210
N-Carbamoyl-L-aspartate                                                                                    0.083202
Cyclopropane phosphatidylethanolamine (dihexadec-9,10-cyclo-anoyl, n-C16:0 cyclo)                          0.082586
3-Deoxy-D-manno-2-octulosonate                                                                            -0.082189
Gamma-glutamyl-gamma-butyraldehyde                                                                        -0.081543
2-Dehydro-3-deoxy-D-galactonate&2-Dehydro-3-deoxy-D-gluconate                                             -0.078911
Methylisocitrate&2-Methylcitrate&Lipoate                                                                  -0.077605
2-C-methyl-D-erythritol 4-phosphate                                                                        0.076688
1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)&2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)        0.076428
Ornithine                                                                                                 -0.075709
Cytidine                                                                                                   0.075237
Guanosine                                                                                                 -0.075209
(R)-S-Lactoylglutathione                                                                                  -0.075022
N-Acetylneuraminate                                                                                       -0.075019
D-Fructose&D-Galactose&Beta D-Galactose&D-Allose&D-Mannose&D-Glucose&Myo-Inositol                         -0.074957
Pyridoxal                                                                                                  0.074351
1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)&2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)       -0.073370
Acetate&Glycolaldehyde                                                                                    -0.072874
3-Carboxy-4-methyl-2-oxopentanoate&Shikimate                                                              -0.072770
UMP C9H11N2O9P&3  UMP C9H11N2O9P                                                                          -0.072722
L-Allo-threonine&L-Homoserine&L-Threonine                                                                 -0.072120
Cys Gly C5H10N2O3S                                                                                        -0.071882
IMP C10H11N4O8P                                                                                            0.071577
L-Arginine                                                                                                -0.071525
Uridine                                                                                                    0.071508
L-Methionine                                                                                              -0.071107
