metabolite                                                                                                                                    mean abs shap-value
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Protoheme C34H30FeN4O4                                                                                                                        0.446957
1-octadec-11-enoyl-sn-glycerol 3-phosphate&2-octadec-11-enoyl-sn-glycerol 3-phosphate                                                         0.437927
N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid                                                                                         0.311596
Dephospho-CoA                                                                                                                                 0.069841
UTP C9H11N2O15P3                                                                                                                              0.067587
1-(5-Phosphoribosyl)-AMP&ADPribose C15H21N5O14P2                                                                                              0.042424
3-Phospho-D-glycerate&D-Glycerate 2-phosphate                                                                                                 0.040152
Guanine                                                                                                                                       0.033262
Arbutin C12H16O7                                                                                                                              0.029411
GTP C10H12N5O14P3                                                                                                                             0.028065
Branching glycogen&Glycogen C6H10O5                                                                                                           0.026723
Uracil                                                                                                                                        0.026582
N-Acetyl-D-galactosamine&N-Acetyl-D-glucosamine&N-Acetyl-D-mannosamine                                                                        0.023626
Pyridoxal                                                                                                                                     0.022266
Succinic semialdehyde&2-Oxobutanoate&Acetoacetate                                                                                             0.020647
L-Allo-threonine&L-Homoserine&L-Threonine                                                                                                     0.020628
DTDP-4-acetamido-4,6-dideoxy-D-galactose                                                                                                      0.019552
Dihydroxyacetone phosphate&Glyceraldehyde 3-phosphate                                                                                         0.018197
1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)&2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)                                           0.017534
GMP C10H12N5O8P&Guanosine 3  phosphate C10H12N5O8P&Cyclic pyranopterin monophosphate                                                          0.017222
2,3-diaminopropionate                                                                                                                         0.017141
Glycerophosphoglycerol                                                                                                                        0.015270
D-Tagatose 6-phosphate&Allulose 6-phosphate&D-Mannose 1-phosphate&D-Allose 6-phosphate&D-Mannose 6-phosphate&D-Glucose 6-phosphate&D-Fructose 1-phosphate&Alpha-D-Galactose 1-phosphate&1D-myo-Inositol 1-phosphate&D-Glucose 1-phosphate&D-Fructose 6-phosphate  0.014370
Sn-Glycero-3-phosphoethanolamine                                                                                                              0.013962
L-Glutamate 1-semialdehyde&L-Glutamate 5-semialdehyde&5-Amino-4-oxopentanoate                                                                 0.013950
1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)&2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)                                           0.013931
Nicotinamide adenine dinucleotide phosphate                                                                                                   0.013308
6-hydroxymethyl dihydropterin                                                                                                                 0.013199
Enterochelin                                                                                                                                  0.013046
2-C-methyl-D-erythritol 2,4-cyclodiphosphate                                                                                                  0.012235
L-Glutamate&O-Acetyl-L-serine                                                                                                                 0.011822
Acetyl phosphate                                                                                                                              0.011480
(S)-Methylmalonyl-CoA&Succinyl-CoA&Malonyl-CoA methyl ester                                                                                   0.011449
7-cyano-7-carbaguanine                                                                                                                        0.011352
2,3-Bis(3-hydroxytetradecanoyl)-beta-D-glucosaminyl 1-phosphate                                                                               0.011310
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate                                                                                                0.010768
L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine                                                                                 0.010294
Octadecanoate (n-C18:0)                                                                                                                       0.009716
Hexadecanoyl-phosphate (n-C16:0)                                                                                                              0.009704
N-Acetylmuramate                                                                                                                              0.009700
S-Ribosyl-L-homocysteine                                                                                                                      0.009262
1-deoxy-D-xylulose 5-phosphate&2-Deoxy-D-ribose 1-phosphate&2-Deoxy-D-ribose 5-phosphate                                                      0.008768
Nitrate                                                                                                                                       0.008131
5-O-(1-Carboxyvinyl)-3-phosphoshikimate                                                                                                       0.008098
2,3,4,5-Tetrahydrodipicolinate                                                                                                                0.008021
Dodecanoate (n-C12:0)                                                                                                                         0.007822
L-Histidine                                                                                                                                   0.007747
Hexadecanoate (n-C16:0)                                                                                                                       0.007723
L-Glutamate 5-phosphate                                                                                                                       0.007500
2-Oxopent-4-enoate                                                                                                                            0.006770
FMN C17H19N4O9P                                                                                                                               0.006653
1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)&2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)                                                   0.006638
D-Sorbitol 6-phosphate&D-Mannitol 1-phosphate&Galactitol 1-phosphate                                                                          0.006627
Phosphoenolpyruvate                                                                                                                           0.006586
D-Fructose 1,6-bisphosphate&D-Tagatose 1,6-biphosphate                                                                                        0.006472
LL-2,6-Diaminoheptanedioate                                                                                                                   0.006374
Cis-Aconitate                                                                                                                                 0.006295
N-Acetyl-L-glutamate 5-semialdehyde                                                                                                           0.006010
1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)&2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)                                           0.005956
Nicotinamide adenine dinucleotide phosphate - reduced                                                                                         0.005948
Nicotinate                                                                                                                                    0.005832
Chloramphenicol                                                                                                                               0.005739
Phenylpropanoate                                                                                                                              0.005621
Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)                                                                                          0.005588
Nicotinamide                                                                                                                                  0.005540
Maltopentaose                                                                                                                                 0.005526
Coenzyme A                                                                                                                                    0.005342
Adenine                                                                                                                                       0.005314
3-Carboxy-4-methyl-2-oxopentanoate&Shikimate                                                                                                  0.005229
Pyridoxamine                                                                                                                                  0.005219
5-Dehydro-D-gluconate&D-Galacturonate&2-Dehydro-L-gulonate&D-Fructuronate&3-Dehydro-L-gulonate&D-Glucuronate&D-Tagaturonate                   0.005211
Hypoxanthine                                                                                                                                  0.005131
1,4-Dihydroxy-2-naphthoate                                                                                                                    0.005107
Thymidine C10H14N2O5                                                                                                                          0.005014
Cytidine                                                                                                                                      0.004932
Cyclopropane phosphatidylglycerol (dihexadec-9,10-cyclo-anoyl, n-C16:0 cyclo)                                                                 0.004842
1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)&2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)                                                   0.004810
Orotate C5H3N2O4                                                                                                                              0.004787
L-Arginine                                                                                                                                    0.004752
4-Aminobutanoate                                                                                                                              0.004711
2,3-Dihydro-2,3-dihydroxybenzoate                                                                                                             0.004637
(S)-Dihydroorotate                                                                                                                            0.004426
UDP-D-glucuronate                                                                                                                             0.004423
Tetradecanoate (n-C14:0)                                                                                                                      0.004403
DATP C10H12N5O12P3                                                                                                                            0.004393
Sulfoacetate                                                                                                                                  0.004275
N-Succinyl-LL-2,6-diaminoheptanedioate                                                                                                        0.004253
